Query,AI_Response,Internal_Confidence_Tier,Human_Label_Score
Find me any cases involving a specialized glass cutter and a smiley face.,,UNKNOWN,
List all crimes in Belagavi district.,,UNKNOWN,
Are there any burglary cases involving an iron rod?,,UNKNOWN,
Show me all cases involving Section 302 of the IPC.,,UNKNOWN,
Which accused has the highest page rank score?,,UNKNOWN,
Are there any repeat offenders linked to multiple FIRs?,,UNKNOWN,
Give me an analysis of modus operandi involving window entries.,,UNKNOWN,
What is the most common crime type in Kalaburagi?,,UNKNOWN,
Who is the central figure in the drug trafficking ring?,,UNKNOWN,
Show me cases where the narrative mentions a red getaway car.,,UNKNOWN,
